Fips,Average Humidity,State_Code
20091,81.58%,KS
20153,81.38%,KS
20139,81.34%,KS
20103,81.21%,KS
20193,81.10%,KS
20209,81.05%,KS
20085,80.93%,KS
20199,80.75%,KS
20077,80.67%,KS
20191,80.59%,KS
20005,80.57%,KS
20109,80.51%,KS
20111,80.45%,KS
20117,80.41%,KS
20007,80.35%,KS
20033,80.31%,KS
20131,80.28%,KS
20201,80.23%,KS
20051,80.13%,KS
20151,80.10%,KS
20185,80.08%,KS
20015,79.98%,KS
20145,79.97%,KS
20195,79.96%,KS
20165,79.90%,KS
20095,79.89%,KS
20173,79.87%,KS
20043,79.86%,KS
20073,79.84%,KS
20057,79.77%,KS
20149,79.74%,KS
20027,79.74%,KS
20157,79.69%,KS
20013,79.68%,KS
20063,79.61%,KS
20017,79.58%,KS
20197,79.55%,KS
20035,79.43%,KS
20097,79.35%,KS
20047,79.32%,KS
20031,79.30%,KS
20135,79.26%,KS
20155,79.25%,KS
20159,79.24%,KS
20115,79.24%,KS
20049,79.16%,KS
20009,79.16%,KS
20105,79.14%,KS
20079,79.13%,KS
20121,79.11%,KS
20003,79.09%,KS
20083,79.06%,KS
20025,79.03%,KS
20053,78.84%,KS
20141,78.73%,KS
20179,78.69%,KS
20029,78.69%,KS
20203,78.67%,KS
20163,78.57%,KS
20065,78.55%,KS
20127,78.53%,KS
20143,78.51%,KS
20167,78.51%,KS
20019,78.37%,KS
20175,78.28%,KS
20119,78.25%,KS
20041,78.12%,KS
20039,78.09%,KS
20161,77.94%,KS
20101,77.85%,KS
20001,77.84%,KS
20071,77.81%,KS
20107,77.80%,KS
20061,77.74%,KS
20069,77.61%,KS
20169,77.53%,KS
20089,77.51%,KS
20133,77.42%,KS
20123,77.21%,KS
20207,77.11%,KS
20137,76.98%,KS
20183,76.94%,KS
20055,76.75%,KS
20205,76.63%,KS
20171,76.63%,KS
20037,76.58%,KS
20125,76.47%,KS
20081,76.46%,KS
20011,76.18%,KS
20147,75.95%,KS
20021,75.77%,KS
20099,75.65%,KS
20189,74.31%,KS
20067,74.18%,KS
20093,74.10%,KS
20075,73.07%,KS
20129,71.90%,KS
20187,71.82%,KS
21161,81.78%,KY
21089,81.55%,KY
21023,81.54%,KY
21135,80.88%,KY
